X_Center	BPR1_Y	BPR2_Y	U1518_Y	U1519_Y	CNST_X	GISB_X	MAKO_X	TKAR_X	AHTI_X	MATW_X	CNST_Y	GISB_Y	MAKO_Y	TKAR_Y	AHTI_Y	MATW_Y	U1518_dilatation	U1519_dilatation
-1.000000000000000000e+05	-4.094816278914917892e-04	1.682785940661546170e-04	8.334931811126351808e-05	-8.242909592240389412e-04	-6.503565283530120256e-02	-4.852157328624757265e-02	-5.609784711424717352e-02	-4.723287701045093823e-02	-4.271241322731472723e-02	-4.385987850255931852e-02	-3.364527631300907179e-02	-9.158383319428062275e-02	-2.455472300091407489e-02	3.225163348027356575e-02	-9.041061749437095951e-02	8.375709094534710200e-03	-1.135452140007151248e-09	1.577357151442081183e-09
-9.500000000000000000e+04	-8.041629329289216995e-04	1.235220863181921646e-04	-1.968956095267575626e-05	-1.473296511140984814e-03	-1.094744605491150963e-01	-3.869567016241638735e-02	-9.873139389973573099e-02	-8.713370781587317926e-02	-3.385690269146213877e-02	-5.287291014889787533e-02	-7.191226380881317326e-02	-8.403969958889456748e-02	-5.278810933077252021e-02	5.351366655133021899e-02	-7.029654158055520519e-02	7.004330937271207279e-03	-2.029518882292125969e-09	2.723121378756675520e-09
-9.000000000000000000e+04	-1.295385081481468734e-03	5.197986412454629987e-06	-2.023214755972997051e-04	-2.252441807075514051e-03	-1.494298532099814780e-01	-5.376278195603448329e-02	-1.464024520595113010e-01	-1.176328509356584506e-01	-5.702242044755306133e-02	-5.466573564673168212e-02	-1.302966082149707994e-01	-1.437401812545937609e-02	-1.004604656981397115e-01	5.660881776016574163e-02	5.296294963213012824e-03	4.336385076319362181e-03	-3.142492754002511937e-09	4.184295079427101034e-09
-8.500000000000000000e+04	-1.494595885787513689e-03	-1.400138698263753449e-04	-3.599802444625422020e-04	-2.555621190848498571e-03	-1.174901793250642257e-01	-9.447847123528652080e-02	-1.407126076033002882e-01	-9.832186141440979466e-02	-1.018924861284312977e-01	-3.835788649282417806e-02	-1.588210319689767336e-01	6.902395324441204516e-02	-1.445619299024208937e-01	3.167911397289385755e-02	7.561052964769399143e-02	8.798143025383358849e-04	-3.884748740428466346e-09	5.145329953723979566e-09
-8.000000000000000000e+04	-1.618118277607929253e-03	-1.934775870841676888e-04	-4.231138343850817784e-04	-2.857675451683711759e-03	-6.348913503684963655e-02	-1.199334231143787399e-01	-9.559341228051418393e-02	-7.285253260692267641e-02	-1.212162465819740242e-01	-2.707889151941656608e-02	-1.087372227086413345e-01	7.499971740028021916e-02	-1.499854296328626824e-01	1.541998558781616790e-02	7.135293591245070455e-02	-3.845389612956258071e-04	-5.124448739532120374e-09	6.614000176273484428e-09
-7.500000000000000000e+04	-1.656683562978854881e-03	5.562188259584973906e-05	-2.091951828301301776e-04	-3.398793116435744506e-03	-6.298961732404545488e-02	-1.086015962442297977e-01	-5.787819873339011822e-02	-4.940121208082297322e-02	-1.050530826624341552e-01	-1.777716053164056509e-02	2.348400498025928970e-02	4.981921225983265700e-02	-4.065493086495922115e-02	6.942471139214955074e-03	4.482579140281219010e-02	-6.877935762748759287e-04	-9.837753117897838461e-09	1.009887489205934881e-08
-7.000000000000000000e+04	-2.458526285171800177e-03	6.315270349975081465e-04	1.884345637170106442e-04	-6.094055669777154877e-03	-1.298209553037399377e-01	-8.995755626503346147e-02	-1.021168587491064345e-01	-3.447060958010811360e-02	-8.480495508453717024e-02	-1.175879576355974392e-02	1.219270014640690403e-01	3.061477710682898937e-02	1.080838173601288144e-01	3.464550258462152556e-03	2.681931070766041536e-02	-5.877359092743991925e-04	-2.316652600865233505e-08	2.076944752319625296e-08
-6.500000000000000000e+04	-3.412133204613434188e-03	-1.436088150624115363e-04	-5.527706272529867015e-04	-8.374911649586048654e-03	-1.697942995183163717e-01	-8.732267733195259174e-02	-1.593193345838911923e-01	-3.752050971199460960e-02	-8.260030729218427459e-02	-1.459459434141726145e-02	1.134028824868390239e-01	2.259559855433279640e-02	1.317423953431531847e-01	2.600801411278065231e-03	1.999182276556771970e-02	-1.018123977576257475e-03	-1.940801142242710093e-08	2.787988835093560627e-08
-6.000000000000000000e+04	-3.074313471373078116e-03	-1.257150447791420111e-03	-1.376923326008616319e-03	-8.185570773728596469e-03	-1.432537231784203058e-01	-7.092488186578470299e-02	-1.522952326931385492e-01	-3.484619930036396418e-02	-6.771680493741806528e-02	-1.508167663950540742e-02	5.870394035806296429e-02	1.383249702767024372e-02	7.324712147855795552e-02	1.229647442705074801e-03	1.242258609367683300e-02	-1.385035666407636711e-03	-3.433638008593978010e-09	2.783755516770266484e-08
-5.500000000000000000e+04	-2.651163537573660717e-03	-1.242638990121598327e-03	-1.221633688439583299e-03	-9.909090666183697355e-03	-1.024696294710796540e-01	-4.416081216692993583e-02	-1.204899516951941363e-01	-2.212307420162607299e-02	-4.216389663704535329e-02	-9.828730222969657426e-03	2.532132438936669089e-02	5.688236020403112519e-03	3.524918395003218130e-02	-1.452700649898786825e-04	5.089731646211507164e-03	-1.161566072786366505e-03	-7.192784909676368279e-10	3.389986491137330074e-08
