X0	S0	X1	S1	X2	S2	X3	S3	Xc
-105000	0	-105000	1	-95000	1	-95000	0	-100000
-100000	0	-100000	1	-90000	1	-90000	0	-95000
-95000	0	-95000	1	-85000	1	-85000	0	-90000
-90000	0	-90000	1	-80000	1	-80000	0	-85000
-85000	0	-85000	1	-75000	1	-75000	0	-80000
-80000	0	-80000	1	-70000	1	-70000	0	-75000
-75000	0	-75000	1	-65000	1	-65000	0	-70000
-70000	0	-70000	1	-60000	1	-60000	0	-65000
-65000	0	-65000	1	-55000	1	-55000	0	-60000
-60000	0	-60000	1	-50000	1	-50000	0	-55000
-55000	0	-55000	1	-45000	1	-45000	0	-50000
-50000	0	-50000	1	-40000	1	-40000	0	-45000
-45000	0	-45000	1	-35000	1	-35000	0	-40000
-40000	0	-40000	1	-30000	1	-30000	0	-35000
-35000	0	-35000	1	-25000	1	-25000	0	-30000
-30000	0	-30000	1	-20000	1	-20000	0	-25000
-25000	0	-25000	1	-15000	1	-15000	0	-20000
-20000	0	-20000	1	-10000	1	-10000	0	-15000
-15000	0	-15000	1	-5000	1	-5000	0	-10000
-10000	0	-10000	1	0	1	0	0	-5000
-5000	0	-5000	1	5000	1	5000	0	0
