X_Center	BPR1_Y	BPR2_Y	U1518_Y	U1519_Y	CNST_X	GISB_X	MAKO_X	TKAR_X	AHTI_X	MATW_X	CNST_Y	GISB_Y	MAKO_Y	TKAR_Y	AHTI_Y	MATW_Y	U1518_dilatation	U1519_dilatation
-1.000000000000000000e+05	-1.877272909114342922e-04	9.574085178851847748e-05	5.473674106513644680e-05	-3.918467551715038369e-04	-3.172097128535115301e-02	-2.781450775288259875e-02	-2.716622502943611198e-02	-2.161547006251810649e-02	-2.507332223524509629e-02	-2.308361140411067935e-02	-1.560876478932078128e-02	-4.777158581410338722e-02	-1.140750800006424051e-02	1.414827512098733829e-02	-4.811504180544425718e-02	4.803914558887070578e-03	-5.173833132473855463e-10	7.568163338921426214e-10
-9.500000000000000000e+04	-4.937080424219789446e-04	1.110250063127333781e-04	1.903850172499000091e-05	-9.276410145774840674e-04	-7.062863088896897956e-02	-2.893209070737144326e-02	-6.237392141614753194e-02	-5.601891887918523938e-02	-2.337292635442002331e-02	-3.832869138012337529e-02	-4.234017537874269765e-02	-7.521959139751915879e-02	-3.080438104147023570e-02	3.788427177569247961e-02	-6.804871626630135117e-02	5.791624970116560425e-03	-1.292551816247040087e-09	1.732270011393518193e-09
-9.000000000000000000e+04	-6.666580746735940085e-04	-6.224694121282161970e-06	-1.121051818474769212e-04	-1.150687707276062217e-03	-7.701534150665330369e-02	-2.551474071292920281e-02	-7.486962625465043430e-02	-6.042790247264406833e-02	-2.865370094256559919e-02	-2.662613121381804393e-02	-6.600197467069297830e-02	1.453360258875917993e-04	-5.028968360517913766e-02	2.735065124873865133e-02	1.134624397660471094e-02	1.788807213470799962e-03	-1.554150744825309344e-09	2.079396357662631186e-09
-8.500000000000000000e+04	-7.341385075327583982e-04	-6.662300519401622638e-05	-1.751408387028811865e-04	-1.254573124785695161e-03	-6.199948504700782126e-02	-4.793317609572516486e-02	-7.359095518771072153e-02	-4.940538034357923325e-02	-5.224072820818183305e-02	-1.898742952414230259e-02	-8.390903531986330932e-02	3.928952769548099688e-02	-7.308709004814067933e-02	1.564841789274371009e-02	4.215374918891086342e-02	3.859045718844938185e-04	-1.950193684327669294e-09	2.550718370308013972e-09
-8.000000000000000000e+04	-8.267147027096616047e-04	-1.198814262671348842e-04	-2.344074280897631354e-04	-1.431035439806209453e-03	-2.664749457953360240e-02	-6.242743219083979334e-02	-4.831424091320558889e-02	-3.634519913843622940e-02	-6.284471158595161810e-02	-1.348581797138976440e-02	-6.288248025867863855e-02	3.848824996994748560e-02	-8.481062754130297421e-02	7.246893009572768704e-03	3.618232534938030376e-02	-2.494071616676103351e-04	-2.352076338452852798e-09	3.182240158781410191e-09
-7.500000000000000000e+04	-8.316785052952794426e-04	-1.005366424725462614e-05	-1.382783515947961443e-04	-1.652760867125717664e-03	-2.646987502751129567e-02	-5.627317755228484347e-02	-2.065272572120108868e-02	-2.495132139647603109e-02	-5.422283113187831294e-02	-8.993046606119674616e-03	1.720075951848681547e-02	2.491223965004740401e-02	-2.455582203140104988e-02	3.253585433987305105e-03	2.224869540793598249e-02	-3.891275751870921455e-04	-4.450575542858906736e-09	4.780402738889525702e-09
-7.000000000000000000e+04	-1.426912886941266757e-03	5.119492549980864896e-04	2.335923517765887297e-04	-3.707586640718192605e-03	-8.717541404893185131e-02	-5.016230211516970600e-02	-6.916005826085951103e-02	-1.810038927347412674e-02	-4.698276877824623249e-02	-5.917715842370086486e-03	8.396839014287796332e-02	1.611912476415066492e-02	8.612491119476257950e-02	1.725780482341477632e-03	1.402191557476235168e-02	-2.872547348423424912e-04	-1.554753024000704738e-08	1.315530376775434101e-08
-6.500000000000000000e+04	-1.646067357458873889e-03	-1.409486369973873528e-04	-3.297047693928801355e-04	-3.883223421118729181e-03	-7.093487551498228738e-02	-3.806268585504228585e-02	-6.706064229511414509e-02	-1.726842165402684218e-02	-3.616562408038808546e-02	-6.953054385110245955e-03	4.382967473911546230e-02	9.794444870806995329e-03	5.083666014319473958e-02	1.276374222148940344e-03	8.748124624295389173e-03	-4.697504557908337933e-04	-8.161150105239956866e-09	1.232115187405477076e-08
-6.000000000000000000e+04	-1.410284897649711003e-03	-7.189585144518490780e-04	-7.468428447263185735e-04	-3.733747837654482604e-03	-7.184505380400606211e-02	-3.459970222921175675e-02	-7.803546951526857400e-02	-1.722310390902268701e-02	-3.305433335443826171e-02	-7.553787990759921328e-03	2.683606962682375321e-02	6.212527391967575391e-03	3.468037224884534114e-02	4.533602303093650946e-04	5.582484268954043469e-03	-7.303121290652004726e-04	4.528873545071888270e-11	1.298796631333731568e-08
-5.500000000000000000e+04	-1.180189033901233274e-03	-5.805740684940109610e-04	-5.683707899730863029e-04	-4.185427727108733710e-03	-4.730868685102966598e-02	-2.011543336432686235e-02	-5.611195327199339916e-02	-1.008117440634512772e-02	-1.920385503288826040e-02	-4.484487281794442490e-03	1.116326167655193498e-02	2.494530362093901749e-03	1.576000551274037154e-02	-9.402339118999599571e-05	2.231380928415876985e-03	-5.372814957877739212e-04	-2.250570717096537751e-11	1.467376193000763913e-08
