X0	S0	X1	S1	X2	S2	X3	S3	Xc
-102500	0	-102500	1	-97500	1	-97500	0	-100000
-97500	0	-97500	1	-92500	1	-92500	0	-95000
-92500	0	-92500	1	-87500	1	-87500	0	-90000
-87500	0	-87500	1	-82500	1	-82500	0	-85000
-82500	0	-82500	1	-77500	1	-77500	0	-80000
-77500	0	-77500	1	-72500	1	-72500	0	-75000
-72500	0	-72500	1	-67500	1	-67500	0	-70000
-67500	0	-67500	1	-62500	1	-62500	0	-65000
-62500	0	-62500	1	-57500	1	-57500	0	-60000
-57500	0	-57500	1	-52500	1	-52500	0	-55000
-52500	0	-52500	1	-47500	1	-47500	0	-50000
-47500	0	-47500	1	-42500	1	-42500	0	-45000
-42500	0	-42500	1	-37500	1	-37500	0	-40000
-37500	0	-37500	1	-32500	1	-32500	0	-35000
-32500	0	-32500	1	-27500	1	-27500	0	-30000
-27500	0	-27500	1	-22500	1	-22500	0	-25000
-22500	0	-22500	1	-17500	1	-17500	0	-20000
-17500	0	-17500	1	-12500	1	-12500	0	-15000
-12500	0	-12500	1	-7500	1	-7500	0	-10000
-7500	0	-7500	1	-2500	1	-2500	0	-5000
-2500	0	-2500	1	2500	1	2500	0	0
