X0	S0	X1	S1	X2	S2	X3	S3	Xc
-155000	0	-155000	1	-145000	1	-145000	0	-150000
-145000	0	-145000	1	-135000	1	-135000	0	-140000
-135000	0	-135000	1	-125000	1	-125000	0	-130000
-125000	0	-125000	1	-115000	1	-115000	0	-120000
-115000	0	-115000	1	-105000	1	-105000	0	-110000
-105000	0	-105000	1	-95000	1	-95000	0	-100000
-95000	0	-95000	1	-85000	1	-85000	0	-90000
-85000	0	-85000	1	-75000	1	-75000	0	-80000
-75000	0	-75000	1	-65000	1	-65000	0	-70000
-65000	0	-65000	1	-55000	1	-55000	0	-60000
-55000	0	-55000	1	-45000	1	-45000	0	-50000
-45000	0	-45000	1	-35000	1	-35000	0	-40000
-35000	0	-35000	1	-25000	1	-25000	0	-30000
-25000	0	-25000	1	-15000	1	-15000	0	-20000
-15000	0	-15000	1	-5000	1	-5000	0	-10000
-5000	0	-5000	1	5000	1	5000	0	0
