"dip_dir:0"	"dip_dir:1"	"dip_dir:2"	"normal_dir:0"	"normal_dir:1"	"normal_dir:2"	"strike_dir:0"	"strike_dir:1"	"strike_dir:2"	"Points:0"	"Points:1"	"Points:2"
0.98025857	-0.07261197	0.11515803	-0.11196839	0.0064598907	0.9935311	-0.072901874	-0.98686186	0	33610	-17265.244	-5072.6191
0.98106498	-0.090536792	0.12027654	-0.11697812	0.0082575328	0.99292081	-0.090906018	-0.98833166	0	33867.688	-17420.107	-5042.1206
0.99061158	-0.041152916	0.11425413	-0.11179907	0.0034860613	0.99368756	-0.041297307	-0.99715499	0	33141.371	-16983.615	-5127.291
0.98905526	-0.04697089	0.11440075	-0.11158994	0.0037899538	0.99367207	-0.047111005	-0.99561699	0	33041.727	-16923.73	-5137.5894
0.9734968	-0.10541573	0.12643394	-0.12165605	0.010682614	0.99229484	-0.10598604	-0.98142667	0	34161.41	-17596.623	-5005.9331
0.97232436	-0.13383698	0.1352994	-0.1303554	0.014357884	0.99108935	-0.13463859	-0.98151216	0	34542.641	-17825.73	-4954.6763
0.77454574	-0.59558762	0.21293648	-0.16879099	0.12980546	0.97706357	-0.60957134	-0.79272748	0	-35401.918	24208.592	-16055.575
0.77807382	-0.5925704	0.20846571	-0.1658348	0.12630808	0.97803003	-0.60588394	-0.79555226	0	-33873.023	23289.777	-15672.419
0.99041002	-0.049673649	0.11390216	-0.11133103	0.0043956658	0.99373622	-0.049868724	-0.99691366	0	32952.34	-16870.014	-5148.2773
0.97453886	-0.14605784	0.16025683	-0.15600216	0.021515913	0.98746008	-0.14769095	-0.98737013	0	35330.426	-18299.162	-4839.4507
0.97324429	-0.14707908	0.1614286	-0.15699343	0.022106845	0.98728579	-0.14878288	-0.98622148	0	35361.48	-18317.826	-4834.3081
0.73014394	-0.61937625	0.28853991	-0.22002159	0.18665253	0.9574683	-0.64689345	-0.76257896	0	-53344.902	34991.719	-21337.459
0.73315122	-0.61887598	0.28180368	-0.21531126	0.1817894	0.95944422	-0.64504443	-0.76413881	0	-52074.719	34228.383	-20908.457
0.93307723	-0.34716467	0.08604702	-0.080238243	0.029169841	0.99634158	-0.34840663	-0.93657155	0	10273.093	-3240.5503	-6463.8354
0.93444984	-0.34130519	0.08790342	-0.082192156	0.029102132	0.99616079	-0.34256669	-0.9381245	0	10428.276	-3333.8105	-6447.083
0.6982222	-0.61113972	0.3728181	-0.28053287	0.24553658	0.92790758	-0.65862206	-0.75247386	0	-66931.922	43157.062	-26783.443
0.69842938	-0.61123862	0.37224968	-0.2801202	0.24514492	0.92812872	-0.65857223	-0.75251733	0	-66847.758	43106.48	-26745.846
0.26118792	0.96105238	0.05603282	-0.015831907	-0.048278988	0.998678	0.96254059	-0.26174037	0	26554.568	-13025.168	-5681.8062
0.31715784	0.92585704	0.056743109	-0.019464006	-0.047054629	0.99862626	0.92730318	-0.31782621	0	26648.252	-13081.468	-5681.6396
0.69789085	-0.61096503	0.37370872	-0.28117964	0.24614994	0.92754319	-0.65869263	-0.7524121	0	-67059.734	43233.871	-26843.469
0.77391202	-0.59611541	0.21378925	-0.16936395	0.13046053	0.97688048	-0.61022481	-0.79222807	0	-35669.969	24369.682	-16122.325
0.91869597	0.0098272557	0.39410673	-0.39245996	-0.0043995453	0.91969831	0.010779721	-0.99959708	0	-11721.337	9977.3604	-11909.687
0.91930532	0.0083509081	0.39332886	-0.39185065	-0.0036698359	0.9200056	0.0091308608	-0.9999083	0	-11689.634	9958.3086	-11897.693
0.66101879	-0.71172076	0.22741606	-0.15373632	0.15875673	0.97503365	-0.7302007	-0.67961477	0	-1645.6312	3922.2012	-7960.9858
0.64770617	-0.72855662	0.22281873	-0.14672965	0.15974374	0.97618894	-0.74682677	-0.66499668	0	-1492.3364	3830.0762	-7918.3442
0.92785677	-0.094621924	0.36034437	-0.35786432	0.036810611	0.93294217	-0.10155708	-0.99476685	0	-8759.457	8197.3701	-10696.531
0.91747687	-0.15885479	0.36346808	-0.35749225	0.062044319	0.9317648	-0.17056926	-0.9848511	0	-7785.1318	7611.834	-10279.567
0.92566866	-0.0095980907	0.37393076	-0.37237274	0.0040694511	0.9277927	-0.010412069	-0.99807439	0	-10497.872	9242.0996	-11390.874
0.89955903	0.12740864	0.39334931	-0.37670218	-0.057124908	0.92252631	0.14023866	-0.97806688	0	-14619.879	11719.286	-13146.233
0.90694838	0.070902984	0.40135903	-0.39246501	-0.035104903	0.91761348	0.079253896	-0.99030029	0	-14128.408	11423.929	-12949.855
0.34933772	-0.91669572	0.18588008	-0.065491778	0.17111053	0.98301653	-0.93293118	-0.3555961	0	489.22653	2639.2236	-7525.7119
0.29257305	-0.94049637	0.17070831	-0.04981512	0.16201353	0.98545077	-0.95459518	-0.29686113	0	1139.2994	2248.5518	-7426.3809
0.26251619	-0.95052909	0.16254964	-0.042996903	0.15591094	0.98681964	-0.9633452	-0.26604769	0	1764.8625	1872.6093	-7335.1318
0.23854778	-0.95850072	0.1553821	-0.037740078	0.15041062	0.98780396	-0.97037074	-0.24154687	0	2073.9016	1686.8873	-7298.4507
0.68903692	-0.60534248	0.39836194	-0.29926972	0.26291423	0.91717916	-0.6600059	-0.75126016	0	-70575.555	45346.762	-28539.646
0.69261557	-0.60780826	0.38839021	-0.29192192	0.25616829	0.92149533	-0.65958952	-0.75162595	0	-69172.914	44503.82	-27842.9
0.94261759	-0.19970481	0.26606164	-0.2598837	0.05484349	0.96404894	-0.20711809	-0.97787656	0	37762.863	-19760.975	-4240.835
0.94158426	-0.20365583	0.2676914	-0.26134774	0.056287063	0.96358071	-0.21131158	-0.97727323	0	37855.164	-19816.445	-4212.4443
0.78237971	-0.58763147	0.20627153	-0.16491716	0.12388251	0.97849383	-0.60054987	-0.79957496	0	-32524.289	22479.234	-15344.126
0.25243682	0.87740457	0.27160981	-0.084854775	-0.22293474	0.96818537	0.91117128	-0.26751141	0	-18674.447	14155.945	-13943.326
0.43071983	0.85268666	0.29510908	-0.11720919	-0.21676038	0.96725271	0.89155578	-0.45290407	0	-18348.969	13960.344	-13973.308
0.2375857	0.96925657	0.055965197	-0.014013323	-0.048844547	0.99869341	0.97076199	-0.23806332	0	26505.832	-12995.88	-5681.2534
0.99085216	-0.025996988	0.10934217	-0.10752048	0.0016547194	0.99414494	-0.026027952	-0.99684769	0	30407.141	-15340.435	-5442.3555
