"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CSF-B (m)","P-wave velocity xy (m/s)","Caliper separation (mm)","Sonic traveltime (µs)","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Sample comments","Test comments","Result comments"
"375","U1518","C","1","H","1","","6.0","0.060","0.060","563594","6.48","17.27","2018-03-14 05:42:26","NI-5133-002034","WRMSL","SECT9389011","110636521","","",""
"375","U1518","C","1","H","1","","10.0","0.100","0.100","1542","6.45","58.97","2018-03-14 05:42:26","NI-5133-002034","WRMSL","SECT9389011","110636521","","",""
"375","U1518","C","1","H","1","","12.0","0.120","0.120","9718","6.45","23.78","2018-03-14 05:42:26","NI-5133-002034","WRMSL","SECT9389011","110636521","","",""
"375","U1518","C","1","H","1","","14.0","0.140","0.140","111394","6.45","17.73","2018-03-14 05:42:26","NI-5133-002034","WRMSL","SECT9389011","110636521","","",""
"375","U1518","C","1","H","1","","20.0","0.200","0.199","92508","6.45","17.85","2018-03-14 05:42:26","NI-5133-002034","WRMSL","SECT9389011","110636521","","",""
"375","U1518","C","1","H","1","","24.0","0.240","0.239","143906","6.44","17.60","2018-03-14 05:42:26","NI-5133-002034","WRMSL","SECT9389011","110636521","","",""
"375","U1518","C","1","H","1","","32.0","0.320","0.319","29152","6.45","19.36","2018-03-14 05:42:26","NI-5133-002034","WRMSL","SECT9389011","110636521","","",""
"375","U1518","C","1","H","1","","34.0","0.340","0.339","1568","6.45","58.32","2018-03-14 05:42:26","NI-5133-002034","WRMSL","SECT9389011","110636521","","",""
"375","U1518","C","1","H","1","","36.0","0.360","0.359","1570","6.46","58.28","2018-03-14 05:42:26","NI-5133-002034","WRMSL","SECT9389011","110636521","","",""
"375","U1518","C","1","H","1","","38.0","0.380","0.379","20663","6.46","20.28","2018-03-14 05:42:26","NI-5133-002034","WRMSL","SECT9389011","110636521","","",""
"375","U1518","C","1","H","1","","40.0","0.400","0.399","9230","6.46","24.15","2018-03-14 05:42:26","NI-5133-002034","WRMSL","SECT9389011","110636521","","",""
