#HOLE:,U1518B
#EXPEDITION:,372
#TOP:,54.5708
#BOTTOM:,593.3048
DEPTH_LSF,RHON
m,g/cm3
54.5708,1.934061
54.7232,1.91714
54.8756,1.91251
55.0280,1.922171
55.1804,1.919371
55.3328,1.927378
55.4852,1.921049
55.6376,1.925667
55.7900,1.929644
55.9424,1.926765
56.0948,1.916036
56.2472,1.914685
56.3996,1.914038
56.5520,1.91035
56.7044,1.884474
56.8568,1.819458
57.0092,1.784982
57.1616,1.800282
57.3140,1.801291
57.4664,1.77165
57.6188,1.78831
57.7712,1.814988
57.9236,1.869649
58.0760,1.887612
58.2284,1.902671
58.3808,1.910309
58.5332,1.900906
58.6856,1.905681
58.8380,1.906293
58.9904,1.891516
59.1428,1.883745
59.2952,1.881414
59.4476,1.882095
59.6000,1.902868
59.7524,1.91398
59.9048,1.945376
60.0572,1.961594
60.2096,1.982055
60.3620,2.002335
60.5144,2.010947
60.6668,2.01667
60.8192,-999.25
60.9716,-999.25
61.1240,-999.25
61.2764,-999.25
61.4288,-999.25
61.5812,-999.25
61.7336,-999.25
61.8860,-999.25
62.0384,-999.25
62.1908,-999.25
62.3432,-999.25
62.4956,-999.25
62.6480,-999.25
62.8004,-999.25
62.9528,-999.25
63.1052,-999.25
63.2576,-999.25
63.4100,-999.25
63.5624,-999.25
63.7148,-999.25
63.8672,-999.25
64.0196,-999.25
64.1720,-999.25
64.3244,-999.25
64.4768,-999.25
64.6292,-999.25
64.7816,-999.25
64.9340,-999.25
65.0864,-999.25
65.2388,-999.25
65.3912,-999.25
65.5436,-999.25
65.6960,-999.25
65.8484,-999.25
66.0008,-999.25
66.1532,-999.25
66.3056,-999.25
66.4580,-999.25
66.6104,-999.25
66.7628,-999.25
66.9152,-999.25
67.0676,-999.25
67.2200,-999.25
67.3724,-999.25
67.5248,-999.25
67.6772,-999.25
67.8296,-999.25
67.9820,-999.25
68.1344,-999.25
68.2868,-999.25
68.4392,-999.25
68.5916,-999.25
68.7440,-999.25
68.8964,-999.25
69.0488,-999.25
69.2012,-999.25
69.3536,-999.25
69.5060,-999.25
69.6584,-999.25
69.8108,-999.25
69.9632,-999.25
70.1156,-999.25
70.2680,-999.25
70.4204,-999.25
70.5728,-999.25
70.7252,-999.25
70.8776,-999.25
71.0300,-999.25
71.1824,-999.25
71.3348,-999.25
71.4872,-999.25
71.6396,-999.25
71.7920,-999.25
71.9444,-999.25
72.0968,-999.25
72.2492,-999.25
72.4016,-999.25
72.5540,-999.25
72.7064,-999.25
72.8588,-999.25
73.0112,-999.25
73.1636,-999.25
73.3160,-999.25
73.4684,-999.25
73.6208,-999.25
73.7732,-999.25
73.9256,-999.25
74.0780,-999.25
74.2304,-999.25
74.3828,-999.25
74.5352,-999.25
74.6876,-999.25
74.8400,-999.25
74.9924,-999.25
75.1448,-999.25
75.2972,-999.25
75.4496,-999.25
75.6020,-999.25
75.7544,-999.25
75.9068,-999.25
76.0592,-999.25
76.2116,-999.25
76.3640,-999.25
76.5164,-999.25
76.6688,-999.25
76.8212,-999.25
76.9736,-999.25
77.1260,-999.25
77.2784,-999.25
77.4308,-999.25
77.5832,-999.25
77.7356,-999.25
77.8880,-999.25
78.0404,-999.25
78.1928,-999.25
78.3452,-999.25
78.4976,-999.25
78.6500,-999.25
78.8024,-999.25
78.9548,1.869719
79.1072,1.835614
79.2596,1.841868
79.4120,1.873644
79.5644,1.863557
79.7168,1.857668
79.8692,1.849345
80.0216,1.874412
80.1740,1.893254
80.3264,1.898064
80.4788,1.900689
80.6312,1.913453
80.7836,1.929999
80.9360,1.959745
81.0884,1.951407
81.2408,1.942994
81.3932,1.948846
81.5456,1.95121
81.6980,1.954048
81.8504,1.980184
82.0028,1.970953
82.1552,1.972577
82.3076,1.969705
82.4600,1.952293
82.6124,1.949829
82.7648,1.949283
82.9172,1.942723
83.0696,1.944351
83.2220,1.936171
83.3744,1.935887
83.5268,1.933456
83.6792,1.901631
83.8316,1.867991
83.9840,1.808611
84.1364,1.759019
84.2888,1.71897
84.4412,1.726935
84.5936,1.736557
84.7460,1.75592
84.8984,1.786815
85.0508,1.831952
85.2032,1.848836
85.3556,1.858163
85.5080,1.867798
85.6604,1.884722
85.8128,1.884756
85.9652,1.868878
86.1176,1.868273
86.2700,1.866304
86.4224,1.861082
86.5748,1.841915
86.7272,1.819992
86.8796,1.828197
87.0320,1.84982
87.1844,1.854414
87.3368,1.857728
87.4892,1.868576
87.6416,1.879551
87.7940,1.883502
87.9464,1.880606
88.0988,1.874541
88.2512,1.876718
88.4036,1.878243
88.5560,1.87616
88.7084,1.872615
88.8608,1.890605
89.0132,1.903929
89.1656,1.913636
89.3180,1.917413
89.4704,1.922168
89.6228,1.921798
89.7752,1.918724
89.9276,1.915571
90.0800,1.914711
90.2324,1.912599
90.3848,1.913036
90.5372,1.927987
90.6896,1.937737
90.8420,1.9321
90.9944,1.906868
91.1468,1.871198
91.2992,1.839345
91.4516,1.823947
91.6040,1.820153
91.7564,1.833102
91.9088,1.865385
92.0612,1.899804
92.2136,1.941232
92.3660,1.956451
92.5184,1.953603
92.6708,1.955173
92.8232,1.955072
92.9756,1.953056
93.1280,1.951575
93.2804,1.936883
93.4328,1.930674
93.5852,1.93168
93.7376,1.917191
93.8900,1.91041
94.0424,1.905191
94.1948,1.920646
94.3472,1.917078
94.4996,1.90465
94.6520,1.907273
94.8044,1.915097
94.9568,1.902409
95.1092,1.895651
95.2616,1.888122
95.4140,1.892271
95.5664,1.888988
95.7188,1.876812
95.8712,1.871405
96.0236,1.87417
96.1760,1.878072
96.3284,1.881066
96.4808,1.873092
96.6332,1.866401
96.7856,1.860206
96.9380,1.857796
97.0904,1.853097
97.2428,1.869403
97.3952,1.873412
97.5476,1.883383
97.7000,1.905711
97.8524,1.923287
98.0048,1.934565
98.1572,1.938674
98.3096,1.916592
98.4620,1.907562
98.6144,1.892307
98.7668,1.870213
98.9192,1.881212
99.0716,1.883669
99.2240,1.86676
99.3764,1.887574
99.5288,1.931691
99.6812,1.95451
99.8336,1.977784
99.9860,1.99135
100.1384,1.983953
100.2908,1.980061
100.4432,1.975125
100.5956,1.964603
100.7480,1.951096
100.9004,1.941862
101.0528,1.932899
101.2052,1.955868
101.3576,1.945982
101.5100,1.953511
101.6624,1.950399
101.8148,1.935383
101.9672,1.936878
102.1196,1.934311
102.2720,1.918404
102.4244,1.935336
102.5768,1.941449
102.7292,1.947536
102.8816,1.961483
103.0340,1.962161
103.1864,1.945276
103.3388,1.915311
103.4912,1.897099
103.6436,1.885675
103.7960,1.869602
103.9484,1.879208
104.1008,1.850825
104.2532,1.806883
104.4056,1.778993
104.5580,1.775189
104.7104,1.784083
104.8628,1.821063
105.0152,1.864034
105.1676,1.920307
105.3200,1.93376
105.4724,1.937773
105.6248,1.916345
105.7772,1.885607
105.9296,1.861342
106.0820,1.823405
106.2344,1.807848
106.3868,1.838109
106.5392,1.878636
106.6916,1.922281
106.8440,1.965953
106.9964,1.997319
107.1488,2.007839
107.3012,2.011925
107.4536,1.983875
107.6060,1.934505
107.7584,1.882794
107.9108,1.804753
108.0632,1.769513
108.2156,1.746498
108.3680,1.785016
108.5204,1.784246
108.6728,1.869686
108.8252,1.939433
108.9776,1.969887
109.1300,1.993651
109.2824,1.983102
109.4348,1.958171
109.5872,1.939118
109.7396,1.911744
109.8920,1.897048
110.0444,1.890829
110.1968,1.891769
110.3492,1.896133
110.5016,1.920413
110.6540,1.956155
110.8064,1.950769
110.9588,1.967396
111.1112,1.97814
111.2636,1.98213
111.4160,1.976545
111.5684,1.976194
111.7208,1.96829
111.8732,1.966553
112.0256,1.964442
112.1780,1.958925
112.3304,1.95283
112.4828,1.944391
112.6352,1.929225
112.7876,1.908944
112.9400,1.885289
113.0924,1.876328
113.2448,1.886413
113.3972,1.90573
113.5496,1.937334
113.7020,1.939581
113.8544,1.943981
114.0068,1.946239
114.1592,1.925935
114.3116,1.9296
114.4640,1.93721
114.6164,1.930347
114.7688,1.956574
114.9212,1.971808
115.0736,1.969086
115.2260,1.965022
115.3784,1.939593
115.5308,1.909209
