#HOLE:,U1518B
#EXPEDITION:,372
#TOP:,54.9772
#BOTTOM:,565.0600
DEPTH_LSF,DTCO,DTSM,VCO,VSH
m,us/ft,us/ft,km/s,km/s
54.9772,-999.25,-999.25,-999.25,-999.25
55.1296,168.80040,-999.25,1.8057,-999.25
55.2820,169.50789,-999.25,1.7981,-999.25
55.4344,170.01605,-999.25,1.7928,-999.25
55.5868,171.19220,-999.25,1.7805,-999.25
55.7392,173.20708,-999.25,1.7597,-999.25
55.8916,174.38304,-999.25,1.7479,-999.25
56.0440,174.05183,-999.25,1.7512,-999.25
56.1964,171.46304,-999.25,1.7776,-999.25
56.3488,168.76736,-999.25,1.8060,-999.25
56.5012,168.57144,-999.25,1.8081,-999.25
56.6536,170.11996,-999.25,1.7917,-999.25
56.8060,171.66805,-999.25,1.7755,-999.25
56.9584,171.07980,-999.25,1.7816,-999.25
57.1108,170.06549,-999.25,1.7923,-999.25
57.2632,169.66451,-999.25,1.7965,-999.25
57.4156,169.15355,-999.25,1.8019,-999.25
57.5680,169.70013,-999.25,1.7961,-999.25
57.7204,170.63628,-999.25,1.7863,-999.25
57.8728,172.00351,-999.25,1.7721,-999.25
58.0252,172.24684,-999.25,1.7696,-999.25
58.1776,170.91866,-999.25,1.7833,-999.25
58.3300,171.38939,-999.25,1.7784,-999.25
58.4824,172.39737,-999.25,1.7680,-999.25
58.6348,173.58131,-999.25,1.7559,-999.25
58.7872,174.16011,-999.25,1.7501,-999.25
58.9396,173.43591,-999.25,1.7574,-999.25
59.0920,172.03596,-999.25,1.7717,-999.25
59.2444,172.06313,-999.25,1.7714,-999.25
59.3968,172.67816,-999.25,1.7651,-999.25
59.5492,172.03551,-999.25,1.7717,-999.25
59.7016,170.41360,-999.25,1.7886,-999.25
59.8540,168.74283,-999.25,1.8063,-999.25
60.0064,166.97160,-999.25,1.8255,-999.25
60.1588,166.84717,-999.25,1.8268,-999.25
60.3112,168.52269,-999.25,1.8087,-999.25
60.4636,171.04062,-999.25,1.7820,-999.25
60.6160,172.68427,-999.25,1.7651,-999.25
60.7684,172.48718,-999.25,1.7671,-999.25
60.9208,171.24391,-999.25,1.7799,-999.25
61.0732,170.69698,-999.25,1.7856,-999.25
61.2256,169.94000,-999.25,1.7936,-999.25
61.3780,168.67346,-999.25,1.8070,-999.25
61.5304,167.58279,-999.25,1.8188,-999.25
61.6828,167.35251,-999.25,1.8213,-999.25
61.8352,167.86038,-999.25,1.8158,-999.25
61.9876,168.96596,-999.25,1.8039,-999.25
62.1400,170.24290,-999.25,1.7904,-999.25
62.2924,169.70415,-999.25,1.7961,-999.25
62.4448,167.51028,-999.25,1.8196,-999.25
62.5972,164.15300,-999.25,1.8568,-999.25
62.7496,160.15161,-999.25,1.9032,-999.25
62.9020,156.66414,-999.25,1.9456,-999.25
63.0544,156.68010,-999.25,1.9454,-999.25
63.2068,161.55684,-999.25,1.8866,-999.25
63.3592,166.88795,-999.25,1.8264,-999.25
63.5116,169.07671,-999.25,1.8027,-999.25
63.6640,168.65672,-999.25,1.8072,-999.25
63.8164,167.07721,-999.25,1.8243,-999.25
63.9688,165.50635,-999.25,1.8416,-999.25
64.1212,164.78810,-999.25,1.8496,-999.25
64.2736,164.60736,-999.25,1.8517,-999.25
64.4260,165.47173,-999.25,1.8420,-999.25
64.5784,167.08366,-999.25,1.8242,-999.25
64.7308,169.63582,-999.25,1.7968,-999.25
64.8832,172.08876,-999.25,1.7712,-999.25
65.0356,173.92667,-999.25,1.7525,-999.25
65.1880,175.24538,-999.25,1.7393,-999.25
65.3404,175.39867,-999.25,1.7378,-999.25
65.4928,174.04413,-999.25,1.7513,-999.25
65.6452,172.40387,-999.25,1.7679,-999.25
65.7976,171.54446,-999.25,1.7768,-999.25
65.9500,170.80290,-999.25,1.7845,-999.25
66.1024,169.08366,-999.25,1.8027,-999.25
66.2548,166.84248,-999.25,1.8269,-999.25
66.4072,165.75388,-999.25,1.8389,-999.25
66.5596,166.03957,-999.25,1.8357,-999.25
66.7120,166.40773,-999.25,1.8316,-999.25
66.8644,166.79791,-999.25,1.8274,-999.25
67.0168,167.71191,-999.25,1.8174,-999.25
67.1692,167.99001,-999.25,1.8144,-999.25
67.3216,167.36079,-999.25,1.8212,-999.25
67.4740,167.15091,-999.25,1.8235,-999.25
67.6264,167.04657,-999.25,1.8246,-999.25
67.7788,167.38060,-999.25,1.8210,-999.25
67.9312,167.69507,-999.25,1.8176,-999.25
68.0836,166.95000,-999.25,1.8257,-999.25
68.2360,165.27148,-999.25,1.8442,-999.25
68.3884,164.47983,-999.25,1.8531,-999.25
68.5408,164.43282,-999.25,1.8536,-999.25
68.6932,164.37241,-999.25,1.8543,-999.25
68.8456,163.94341,-999.25,1.8592,-999.25
68.9980,163.76852,-999.25,1.8612,-999.25
69.1504,164.90993,-999.25,1.8483,-999.25
69.3028,167.14513,-999.25,1.8236,-999.25
69.4552,167.53770,-999.25,1.8193,-999.25
69.6076,166.40553,-999.25,1.8317,-999.25
69.7600,166.80402,-999.25,1.8273,-999.25
69.9124,169.46576,-999.25,1.7986,-999.25
70.0648,171.77554,-999.25,1.7744,-999.25
70.2172,171.29684,-999.25,1.7794,-999.25
70.3696,167.11140,-999.25,1.8239,-999.25
70.5220,163.82486,-999.25,1.8605,-999.25
70.6744,163.70662,-999.25,1.8619,-999.25
70.8268,166.03265,-999.25,1.8358,-999.25
70.9792,169.11371,-999.25,1.8023,-999.25
71.1316,170.90897,-999.25,1.7834,-999.25
71.2840,170.89986,-999.25,1.7835,-999.25
71.4364,170.72980,-999.25,1.7853,-999.25
71.5888,170.34894,-999.25,1.7893,-999.25
71.7412,169.85382,-999.25,1.7945,-999.25
71.8936,169.62553,-999.25,1.7969,-999.25
72.0460,170.21307,-999.25,1.7907,-999.25
72.1984,170.77145,-999.25,1.7848,-999.25
72.3508,169.00879,-999.25,1.8035,-999.25
72.5032,163.73438,-999.25,1.8616,-999.25
72.6556,157.47136,-999.25,1.9356,-999.25
72.8080,155.12009,-999.25,1.9649,-999.25
72.9604,157.91209,-999.25,1.9302,-999.25
73.1128,162.60902,-999.25,1.8744,-999.25
73.2652,167.00993,-999.25,1.8250,-999.25
73.4176,169.26768,-999.25,1.8007,-999.25
73.5700,169.42029,-999.25,1.7991,-999.25
73.7224,169.33252,-999.25,1.8000,-999.25
73.8748,168.89688,-999.25,1.8047,-999.25
74.0272,168.75793,-999.25,1.8061,-999.25
74.1796,169.15077,-999.25,1.8019,-999.25
74.3320,169.86412,-999.25,1.7944,-999.25
74.4844,170.56691,-999.25,1.7870,-999.25
74.6368,170.72649,-999.25,1.7853,-999.25
74.7892,171.02875,-999.25,1.7822,-999.25
74.9416,171.68198,-999.25,1.7754,-999.25
75.0940,171.11145,-999.25,1.7813,-999.25
75.2464,169.75479,-999.25,1.7955,-999.25
75.3988,168.10899,-999.25,1.8131,-999.25
75.5512,167.35406,-999.25,1.8213,-999.25
75.7036,168.05739,-999.25,1.8137,-999.25
75.8560,169.96284,-999.25,1.7933,-999.25
76.0084,170.95245,-999.25,1.7830,-999.25
76.1608,169.81198,-999.25,1.7949,-999.25
76.3132,167.19981,-999.25,1.8230,-999.25
76.4656,164.58426,-999.25,1.8519,-999.25
76.6180,163.39648,-999.25,1.8654,-999.25
76.7704,163.66376,-999.25,1.8624,-999.25
76.9228,165.37038,-999.25,1.8431,-999.25
77.0752,167.27490,-999.25,1.8222,-999.25
77.2276,168.45598,-999.25,1.8094,-999.25
77.3800,168.73222,-999.25,1.8064,-999.25
77.5324,170.06563,-999.25,1.7922,-999.25
77.6848,172.12595,-999.25,1.7708,-999.25
77.8372,173.99178,-999.25,1.7518,-999.25
77.9896,174.96404,-999.25,1.7421,-999.25
78.1420,174.34567,-999.25,1.7483,-999.25
78.2944,172.68808,-999.25,1.7650,-999.25
78.4468,170.17160,-999.25,1.7911,-999.25
78.5992,167.68993,-999.25,1.8176,-999.25
78.7516,166.22362,-999.25,1.8337,-999.25
78.9040,165.26680,-999.25,1.8443,-999.25
79.0564,164.12253,-999.25,1.8571,-999.25
79.2088,162.65886,-999.25,1.8739,-999.25
79.3612,161.52068,-999.25,1.8871,-999.25
79.5136,161.83112,-999.25,1.8834,-999.25
79.6660,162.14812,-999.25,1.8798,-999.25
79.8184,162.72690,-999.25,1.8731,-999.25
79.9708,163.95158,-999.25,1.8591,-999.25
80.1232,165.85295,-999.25,1.8378,-999.25
80.2756,167.82625,-999.25,1.8162,-999.25
80.4280,169.16129,-999.25,1.8018,-999.25
80.5804,169.76704,-999.25,1.7954,-999.25
80.7328,168.88145,-999.25,1.8048,-999.25
80.8852,167.52272,-999.25,1.8195,-999.25
81.0376,165.99002,-999.25,1.8363,-999.25
81.1900,165.09361,-999.25,1.8462,-999.25
81.3424,164.88091,-999.25,1.8486,-999.25
