#HOLE:,U1519A
#EXPEDITION:,372
#TOP:,26.7013
#BOTTOM:,644.3784
DEPTH_LSF,RHON
m,g/cm3
26.7013,1.958767
26.8537,1.961422
27.0061,-999.25
27.1585,-999.25
27.3109,-999.25
27.4633,-999.25
27.6157,-999.25
27.7681,-999.25
27.9205,-999.25
28.0729,-999.25
28.2253,-999.25
28.3777,-999.25
28.5301,-999.25
28.6825,-999.25
28.8349,-999.25
28.9873,-999.25
29.1397,-999.25
29.2921,-999.25
29.4445,-999.25
29.5969,-999.25
29.7493,-999.25
29.9017,-999.25
30.0541,-999.25
30.2065,-999.25
30.3589,-999.25
30.5113,-999.25
30.6637,-999.25
30.8161,-999.25
30.9685,-999.25
31.1209,-999.25
31.2733,-999.25
31.4257,-999.25
31.5781,-999.25
31.7305,-999.25
31.8829,-999.25
32.0353,-999.25
32.1877,-999.25
32.3401,-999.25
32.4925,-999.25
32.6449,-999.25
32.7973,-999.25
32.9497,-999.25
33.1021,-999.25
33.2545,1.936311
33.4069,1.942977
33.5593,1.922873
33.7117,1.927006
33.8641,1.932098
34.0165,1.922085
34.1689,1.92427
34.3213,1.938844
34.4737,1.939512
34.6261,1.943951
34.7785,1.938684
34.9309,1.935356
35.0833,1.921436
35.2357,1.920274
35.3881,1.927261
35.5405,1.922441
35.6929,1.933218
35.8453,1.923961
35.9977,1.921146
36.1501,1.933529
36.3025,1.931204
36.4549,1.9211
36.6073,1.923003
36.7597,1.908464
36.9121,1.902845
37.0645,1.903912
37.2169,1.905175
37.3693,1.877925
37.5217,1.846763
37.6741,1.817178
37.8265,1.781866
37.9789,1.759776
38.1313,1.742132
38.2837,1.743744
38.4361,1.773709
38.5885,1.779156
38.7409,1.761214
38.8933,1.69421
39.0457,1.609923
39.1981,1.535687
39.3505,1.498353
39.5029,1.492735
39.6553,1.544812
39.8077,1.609975
39.9601,1.673256
40.1125,1.711107
40.2649,1.718376
40.4173,1.695667
40.5697,1.67859
40.7221,1.659302
40.8745,1.643269
41.0269,1.65054
41.1793,1.681501
41.3317,1.716391
41.4841,1.757975
41.6365,1.789976
41.7889,1.818929
41.9413,1.836686
42.0937,1.854221
42.2461,1.862502
42.3985,1.879001
42.5509,1.917176
42.7033,1.939424
42.8557,1.959053
43.0081,1.972532
43.1605,1.971169
43.3129,1.970182
43.4653,1.968865
43.6177,1.960308
43.7701,1.958709
43.9225,1.950117
44.0749,1.943517
44.2273,1.941071
44.3797,1.942704
44.5321,1.936487
44.6845,1.923091
44.8369,1.922396
44.9893,1.926908
45.1417,1.922835
45.2941,1.916053
45.4465,1.913411
45.5989,1.930043
45.7513,1.939768
45.9037,1.94658
46.0561,1.947084
46.2085,1.945318
46.3609,1.945103
46.5133,1.94055
46.6657,1.920269
46.8181,1.932795
46.9705,1.934529
47.1229,1.938755
47.2753,1.935409
47.4277,1.944931
47.5801,1.9446
47.7325,1.955401
47.8849,1.956046
48.0373,1.964817
48.1897,1.958625
48.3421,1.963211
48.4945,1.956477
48.6469,1.967988
48.7993,1.960518
48.9517,1.964662
49.1041,1.955108
49.2565,1.954013
49.4089,1.9583
49.5613,1.958562
49.7137,1.943003
49.8661,1.951443
50.0185,1.936536
50.1709,1.944847
50.3233,1.938211
50.4757,1.938834
50.6281,1.9427
50.7805,1.951488
50.9329,1.950907
51.0853,1.954921
51.2377,1.960833
51.3901,1.953078
51.5425,1.947558
51.6949,1.951735
51.8473,1.963411
51.9997,1.978417
52.1521,1.98739
52.3045,1.975704
52.4569,1.98764
52.6093,1.99501
52.7617,1.985497
52.9141,1.976813
53.0665,1.967029
53.2189,1.955181
53.3713,1.963866
53.5237,1.957045
53.6761,1.948508
53.8285,1.955086
53.9809,1.95679
54.1333,1.971057
54.2857,1.971825
54.4381,1.980762
54.5905,1.980324
54.7429,1.988542
54.8953,1.983611
55.0477,1.986745
55.2001,1.988096
55.3525,2.008205
55.5049,2.006994
55.6573,2.012662
55.8097,1.999781
55.9621,2.002439
56.1145,2.000118
56.2669,1.99912
56.4193,1.994781
56.5717,1.992176
56.7241,1.974436
56.8765,1.979045
57.0289,1.973008
57.1813,1.967885
57.3337,1.965577
57.4861,1.964001
57.6385,1.973226
57.7909,1.996311
57.9433,1.997552
58.0957,1.99096
58.2481,1.997259
58.4005,1.991544
58.5529,1.986855
58.7053,1.987734
58.8577,1.979668
59.0101,1.98043
59.1625,1.982617
59.3149,1.987631
59.4673,1.993983
59.6197,2.004856
59.7721,1.997749
59.9245,1.999771
60.0769,2.001258
60.2293,2.003435
60.3817,1.984702
60.5341,1.990161
60.6865,1.987066
60.8389,1.997149
60.9913,1.999684
61.1437,2.006591
61.2961,2.009604
61.4485,2.001282
61.6009,1.993603
61.7533,2.003026
61.9057,1.999995
62.0581,1.999406
62.2105,2.004468
62.3629,1.999059
62.5153,1.992737
62.6677,1.998994
62.8201,2.005691
62.9725,2.000762
63.1249,2.000018
63.2773,1.992377
63.4297,1.994873
63.5821,2.009652
63.7345,2.003649
63.8869,1.993304
64.0393,1.991017
64.1917,1.98462
64.3441,1.981081
64.4965,1.982389
64.6489,1.97857
64.8013,1.975998
64.9537,1.978055
65.1061,1.981804
65.2585,1.98321
65.4109,1.973925
65.5633,1.980343
65.7157,1.990834
65.8681,2.001761
66.0205,2.002262
66.1729,2.016201
66.3253,2.010047
66.4777,2.024104
66.6301,2.008401
66.7825,1.992521
