#HOLE:,U1519A
#EXPEDITION:,372
#TOP:,0.6404
#BOTTOM:,617.0984
DEPTH_LSF,DTCO,DTSM,VCO,VSH
m,us/ft,us/ft,km/s,km/s
0.6404,189.38216,-999.25,1.6094,-999.25
0.7928,190.22488,-999.25,1.6023,-999.25
0.9452,191.19269,-999.25,1.5942,-999.25
1.0976,192.83760,-999.25,1.5806,-999.25
1.2500,194.07213,-999.25,1.5706,-999.25
1.4024,194.35672,-999.25,1.5683,-999.25
1.5548,194.36659,-999.25,1.5682,-999.25
1.7072,194.35748,-999.25,1.5682,-999.25
1.8596,194.08990,-999.25,1.5704,-999.25
2.0120,193.27419,-999.25,1.5770,-999.25
2.1644,193.27190,-999.25,1.5771,-999.25
2.3168,194.08257,-999.25,1.5705,-999.25
2.4692,194.20924,-999.25,1.5694,-999.25
2.6216,193.52974,-999.25,1.5750,-999.25
2.7740,192.30226,-999.25,1.5850,-999.25
2.9264,191.20721,-999.25,1.5941,-999.25
3.0788,191.05682,-999.25,1.5953,-999.25
3.2312,191.33020,-999.25,1.5931,-999.25
3.3836,191.19556,-999.25,1.5942,-999.25
3.5360,191.74567,-999.25,1.5896,-999.25
3.6884,192.70509,-999.25,1.5817,-999.25
3.8408,193.11824,-999.25,1.5783,-999.25
3.9932,193.68355,-999.25,1.5737,-999.25
4.1456,194.49423,-999.25,1.5671,-999.25
4.2980,195.31602,-999.25,1.5605,-999.25
4.4504,194.90588,-999.25,1.5638,-999.25
4.6028,193.82202,-999.25,1.5726,-999.25
4.7552,193.13034,-999.25,1.5782,-999.25
4.9076,192.85638,-999.25,1.5805,-999.25
5.0600,192.57733,-999.25,1.5827,-999.25
5.2124,192.98872,-999.25,1.5794,-999.25
5.3648,193.53114,-999.25,1.5749,-999.25
5.5172,193.67096,-999.25,1.5738,-999.25
5.6696,193.68509,-999.25,1.5737,-999.25
5.8220,193.95268,-999.25,1.5715,-999.25
5.9744,194.77753,-999.25,1.5649,-999.25
6.1268,195.04750,-999.25,1.5627,-999.25
6.2792,195.04816,-999.25,1.5627,-999.25
