x,y,vp,vs,density
-500000.0,-750000.0,10.6,6.13,4230.0
-400000.0,-750000.0,10.599999999999998,6.129999999999999,4230.0
-300000.0,-750000.0,10.6,6.13,4230.0
-250000.0,-750000.0,10.6,6.13,4230.0
-200000.0,-750000.0,10.6,6.129999999999999,4230.0
-175000.0,-750000.0,10.6,6.13,4230.0
-150000.0,-750000.0,10.599999999999998,6.13,4230.0
-140000.0,-750000.0,10.6,6.13,4230.0
-130000.0,-750000.0,10.6,6.13,4230.0
-120000.0,-750000.0,10.6,6.13,4230.0
-110000.0,-750000.0,10.6,6.13,4230.0
-100000.0,-750000.0,10.6,6.13,4230.0
-95000.0,-750000.0,10.6,6.13,4230.0
-90000.0,-750000.0,10.600000000000001,6.13,4230.0
-85000.0,-750000.0,10.6,6.129999999999999,4230.0
-80000.0,-750000.0,10.600000000000001,6.130000000000001,4230.000000000001
-75000.0,-750000.0,10.6,6.13,4230.0
-70000.0,-750000.0,10.599999999999998,6.13,4230.0
-65000.0,-750000.0,10.6,6.130000000000001,4230.0
-60000.0,-750000.0,10.6,6.13,4230.0
-55000.0,-750000.0,10.6,6.13,4230.0
-50000.0,-750000.0,10.6,6.130000000000001,4230.0
-47500.0,-750000.0,10.599999999999998,6.13,4230.0
-45000.0,-750000.0,10.600000000000001,6.13,4230.0
-42500.0,-750000.0,10.6,6.13,4230.0
-40000.0,-750000.0,10.6,6.13,4230.0
-37500.0,-750000.0,10.6,6.13,4230.0
-35000.0,-750000.0,10.6,6.13,4230.0
-32500.0,-750000.0,10.6,6.13,4230.0
-30000.0,-750000.0,10.6,6.13,4230.0
-27500.0,-750000.0,10.600000000000001,6.130000000000001,4230.0
-25000.0,-750000.0,10.6,6.13,4229.999999999999
-22500.0,-750000.0,10.6,6.13,4230.0
-20000.0,-750000.0,10.6,6.13,4230.0
-17500.0,-750000.0,10.6,6.13,4230.0
-15000.0,-750000.0,10.6,6.13,4230.0
-12500.0,-750000.0,10.6,6.13,4230.0
-10000.0,-750000.0,10.6,6.13,4230.0
-7500.0,-750000.0,10.6,6.13,4230.0
-5000.0,-750000.0,10.6,6.13,4230.0
-2500.0,-750000.0,10.6,6.129999999999999,4230.0
0.0,-750000.0,10.6,6.130000000000001,4230.0
2500.0,-750000.0,10.600000000000001,6.13,4230.000000000001
5000.0,-750000.0,10.6,6.13,4230.0
7500.0,-750000.0,10.6,6.13,4230.0
10000.0,-750000.0,10.6,6.13,4230.0
12500.0,-750000.0,10.6,6.13,4230.0
15000.0,-750000.0,10.6,6.13,4230.0
17500.0,-750000.0,10.6,6.13,4230.0
20000.0,-750000.0,10.6,6.13,4230.0
22500.0,-750000.0,10.6,6.129999999999999,4230.0
25000.0,-750000.0,10.600000000000001,6.130000000000001,4230.0
27500.0,-750000.0,10.6,6.130148965186513,4230.0
30000.0,-750000.0,10.6,6.131678858151978,4230.0
32500.0,-750000.0,10.599999999999998,6.133208630144247,4230.0
35000.0,-750000.0,10.6,6.134738281086079,4230.0
37500.0,-750000.0,10.6,6.136267810900197,4230.0
40000.0,-750000.0,10.6,6.137797219509228,4230.0
42500.0,-750000.0,10.6,6.139326506835813,4230.0
45000.0,-750000.0,10.6,6.14085567280249,4230.0
47500.0,-750000.0,10.6,6.142384717331781,4230.0
50000.0,-750000.0,10.6,6.1439136403461365,4230.0
55000.0,-750000.0,10.6,6.146971121519677,4230.0
60000.0,-750000.0,10.599999999999998,6.150028115701807,4230.0
65000.0,-750000.0,10.6,6.153084622270452,4230.0
70000.0,-750000.0,10.6,6.15614064060276,4230.0
75000.0,-750000.0,10.6,6.159196170075075,4230.0
80000.0,-750000.0,10.6,6.1622512100629665,4230.0
85000.0,-750000.0,10.6,6.165305759941215,4230.0
90000.0,-750000.0,10.6,6.168359819083813,4230.0
95000.0,-750000.0,10.599999999999998,6.171413386863968,4230.0
100000.0,-750000.0,10.6,6.1744664626541175,4230.0
110000.0,-750000.0,10.6,6.180571135750133,4230.0
120000.0,-750000.0,10.6,6.186673833335564,4230.0
130000.0,-750000.0,10.6,6.192774550361514,4230.0
140000.0,-750000.0,10.6,6.198873281766549,4230.0
150000.0,-750000.0,10.6,6.2,4230.0
175000.0,-750000.0,10.6,6.2,4230.0
200000.0,-750000.0,10.600000000000001,6.2,4230.0
250000.0,-750000.0,10.599999999999998,6.199999999999999,4229.999999999999
300000.0,-750000.0,10.6,6.2,4230.000000000001
400000.0,-750000.0,10.6,6.200000000000001,4230.0
500000.0,-750000.0,10.6,6.2,4230.0
-500000.0,-620000.0,10.2,5.900000000000001,4079.9999999999995
-400000.0,-620000.0,10.2,5.9,4080.0
-300000.0,-620000.0,10.2,5.9,4080.0
-250000.0,-620000.0,10.2,5.9,4080.0
-200000.0,-620000.0,10.2,5.9,4080.0
-175000.0,-620000.0,10.2,5.9,4080.0
-150000.0,-620000.0,10.2,5.9,4080.0
-140000.0,-620000.0,10.2,5.9,4080.0
-130000.0,-620000.0,10.2,5.9,4080.0
-120000.0,-620000.0,10.2,5.9,4080.0
-110000.0,-620000.0,10.2,5.9,4080.0
-100000.0,-620000.0,10.2,5.8999999999999995,4080.0
-95000.0,-620000.0,10.2,5.9,4080.0000000000005
-90000.0,-620000.0,10.2,5.9,4080.0
-85000.0,-620000.0,10.199999999999998,5.9,4080.0
-80000.0,-620000.0,10.2,5.9,4080.0
-75000.0,-620000.0,10.199999999999998,5.8999999999999995,4080.0
-70000.0,-620000.0,10.2,5.8999999999999995,4080.0
-65000.0,-620000.0,10.2,5.9,4080.0
-60000.0,-620000.0,10.2,5.9,4079.9999999999995
-55000.0,-620000.0,10.2,5.9,4080.0
-50000.0,-620000.0,10.2,5.900000000000001,4080.0
-47500.0,-620000.0,10.2,5.9,4080.0
-45000.0,-620000.0,10.2,5.900000000000001,4080.0
-42500.0,-620000.0,10.2,5.9,4080.0
-40000.0,-620000.0,10.2,5.9,4080.0
-37500.0,-620000.0,10.199999999999998,5.9,4080.0
-35000.0,-620000.0,10.2,5.9,4080.0
-32500.0,-620000.0,10.2,5.9,4080.0
-30000.0,-620000.0,10.2,5.9,4080.0
-27500.0,-620000.0,10.2,5.900000000000001,4080.0
-25000.0,-620000.0,10.2,5.9,4080.0
-22500.0,-620000.0,10.199999999999998,5.9,4080.0
-20000.0,-620000.0,10.2,5.9,4080.0
-17500.0,-620000.0,10.2,5.900000000000001,4080.0
-15000.0,-620000.0,10.2,5.9,4080.0
-12500.0,-620000.0,10.2,5.9,4080.0
-10000.0,-620000.0,10.2,5.9,4079.9999999999995
-7500.0,-620000.0,10.2,5.9,4079.9999999999995
-5000.0,-620000.0,10.2,5.9,4080.0
-2500.0,-620000.0,10.2,5.9,4079.9999999999995
0.0,-620000.0,10.2,5.9,4080.0
2500.0,-620000.0,10.2,5.9,4080.0
5000.0,-620000.0,10.2,5.9,4080.0
7500.0,-620000.0,10.2,5.9,4080.0
10000.0,-620000.0,10.2,5.9,4080.0
12500.0,-620000.0,10.2,5.9,4080.0
15000.0,-620000.0,10.2,5.9,4080.0
17500.0,-620000.0,10.2,5.900000000000001,4080.0
20000.0,-620000.0,10.2,5.9,4080.0000000000005
22500.0,-620000.0,10.199999999999998,5.9,4080.0
25000.0,-620000.0,10.200000000000001,5.900000000000001,4080.0
27500.0,-620000.0,10.2,5.9,4080.0000000000005
30000.0,-620000.0,10.2,5.9,4080.0000000000005
32500.0,-620000.0,10.2,5.9,4079.9999999999995
35000.0,-620000.0,10.200000000000001,5.900000000000001,4080.0000000000005
37500.0,-620000.0,10.200000000000001,5.9,4080.0
40000.0,-620000.0,10.2,5.9,4080.0
42500.0,-620000.0,10.2,5.9,4080.0
45000.0,-620000.0,10.2,5.9,4080.0
47500.0,-620000.0,10.2,5.900000000000001,4080.0
50000.0,-620000.0,10.2,5.900000000000001,4080.0000000000005
55000.0,-620000.0,10.2,5.9,4079.9999999999995
60000.0,-620000.0,10.199999999999998,5.9,4080.0
65000.0,-620000.0,10.200000000000001,5.900000000000001,4080.0
70000.0,-620000.0,10.2,5.9,4080.0
75000.0,-620000.0,10.2,5.9,4080.0
80000.0,-620000.0,10.2,5.9,4080.0
85000.0,-620000.0,10.2,5.9,4080.0
90000.0,-620000.0,10.2,5.9,4080.0
95000.0,-620000.0,10.2,5.900000000000001,4080.0
100000.0,-620000.0,10.199999999999998,5.8999999999999995,4080.0
110000.0,-620000.0,10.2,5.9,4080.0
120000.0,-620000.0,10.2,5.9,4080.0
130000.0,-620000.0,10.2,5.9,4080.0
140000.0,-620000.0,10.2,5.9,4080.0
150000.0,-620000.0,10.199999999999996,5.8999999999999995,4080.0
175000.0,-620000.0,10.199999999999998,5.9,4080.0
200000.0,-620000.0,10.200000000000001,5.9,4080.0000000000005
250000.0,-620000.0,10.2,5.9,4079.9999999999995
300000.0,-620000.0,10.2,5.900000000000001,4080.0000000000005
400000.0,-620000.0,10.2,5.900000000000001,4080.0000000000005
500000.0,-620000.0,10.2,5.9,4080.0
-500000.0,-370000.0,8.949999306797368,5.17,3559.999306797368
-400000.0,-370000.0,8.926626730411083,5.159961048536602,3548.2910955591274
-300000.0,-370000.0,8.934715080298709,5.1623575401493556,3552.357540149355
-250000.0,-370000.0,8.957179785335487,5.174633624702326,3562.546160633163
-200000.0,-370000.0,8.94,5.17,3550.0
-175000.0,-370000.0,8.945769449255646,5.17,3555.7694492556457
-150000.0,-370000.0,8.969999999999999,5.179999999999999,3569.9999999999995
-140000.0,-370000.0,8.97,5.18,3570.0
-130000.0,-370000.0,8.97,5.18,3570.0
-120000.0,-370000.0,8.97,5.18,3570.0
-110000.0,-370000.0,8.97,5.18,3570.0
-100000.0,-370000.0,8.97,5.18,3569.9999999999995
-95000.0,-370000.0,8.97,5.18,3570.0
-90000.0,-370000.0,8.970000000000002,5.180000000000001,3570.0000000000005
-85000.0,-370000.0,8.97,5.18,3570.0000000000005
-80000.0,-370000.0,8.97,5.180000000000001,3570.0
-75000.0,-370000.0,8.97,5.18,3570.0
-70000.0,-370000.0,8.969999999999999,5.18,3569.9999999999995
-65000.0,-370000.0,8.97,5.18,3570.0000000000005
-60000.0,-370000.0,8.97,5.18,3570.0
-55000.0,-370000.0,8.97,5.18,3570.0
-50000.0,-370000.0,8.97,5.18,3570.0
-47500.0,-370000.0,8.97,5.18,3570.0
-45000.0,-370000.0,8.97,5.18,3570.0
-42500.0,-370000.0,8.97,5.18,3570.0
-40000.0,-370000.0,8.97,5.18,3570.0
-37500.0,-370000.0,8.97,5.18,3570.0
-35000.0,-370000.0,8.97,5.18,3570.0
-32500.0,-370000.0,8.97,5.18,3570.0
-30000.0,-370000.0,8.97,5.18,3570.0
-27500.0,-370000.0,8.97,5.18,3570.0
-25000.0,-370000.0,8.97,5.18,3570.0
-22500.0,-370000.0,8.97,5.18,3570.0
-20000.0,-370000.0,8.97,5.18,3570.0
-17500.0,-370000.0,8.97,5.18,3570.0
-15000.0,-370000.0,8.97,5.18,3570.0
-12500.0,-370000.0,8.97,5.18,3570.0
-10000.0,-370000.0,8.97,5.18,3570.0
-7500.0,-370000.0,8.97,5.18,3570.0
-5000.0,-370000.0,8.97,5.18,3570.0
-2500.0,-370000.0,8.97,5.18,3569.9999999999995
0.0,-370000.0,8.970000000000002,5.180000000000001,3570.0
2500.0,-370000.0,8.97,5.18,3570.0000000000005
5000.0,-370000.0,8.97,5.18,3570.0
7500.0,-370000.0,8.97,5.18,3570.0
10000.0,-370000.0,8.97,5.18,3570.0
12500.0,-370000.0,8.97,5.18,3570.0
15000.0,-370000.0,8.97,5.18,3570.0
17500.0,-370000.0,8.97,5.18,3570.0
20000.0,-370000.0,8.97,5.18,3570.0
22500.0,-370000.0,8.97,5.18,3569.9999999999995
25000.0,-370000.0,8.97,5.180000000000001,3570.0
27500.0,-370000.0,8.97,5.18,3569.9999999999995
30000.0,-370000.0,8.97,5.179999999999999,3570.0
32500.0,-370000.0,8.97,5.18,3569.9999999999995
35000.0,-370000.0,8.97,5.180000000000001,3570.0000000000005
37500.0,-370000.0,8.969999999999999,5.18,3570.0
40000.0,-370000.0,8.97,5.18,3570.0
42500.0,-370000.0,8.97,5.18,3569.9999999999995
45000.0,-370000.0,8.97,5.180000000000001,3570.0
47500.0,-370000.0,8.97,5.18,3570.0000000000005
50000.0,-370000.0,8.97,5.18,3570.0000000000005
55000.0,-370000.0,8.97,5.18,3570.0
60000.0,-370000.0,8.97,5.179999999999999,3569.9999999999995
65000.0,-370000.0,8.97,5.18,3570.0000000000005
70000.0,-370000.0,8.97,5.18,3570.0
75000.0,-370000.0,8.97,5.18,3570.0
80000.0,-370000.0,8.97,5.18,3570.0
85000.0,-370000.0,8.97,5.18,3570.0
90000.0,-370000.0,8.97,5.18,3570.0
95000.0,-370000.0,8.97,5.180000000000001,3570.0
100000.0,-370000.0,8.97,5.18,3569.9999999999995
110000.0,-370000.0,8.97,5.18,3570.0
120000.0,-370000.0,8.97,5.18,3570.0
